node_id,phase,start_day,duration,trigger,age_min,age_max,coverage,seek,rate,drug,year
1,burnin,22265,365,NewClinicalCase,5,10,0.25,1,0.3,AL,2011
1,burnin,22265,365,NewClinicalCase,10,15,0.25,1,0.3,AL,2011
1,burnin,22265,365,NewSevereCase,0.25,115,0.25,1,0.2,AL,2011
1,burnin,22630,365,NewClinicalCase,0.25,5,0.25,1,0.3,AL,2012
1,burnin,22630,365,NewClinicalCase,5,10,0.25,1,0.3,AL,2012
1,burnin,22630,365,NewClinicalCase,10,15,0.25,1,0.3,AL,2012
1,burnin,22630,365,NewSevereCase,0.25,115,0.25,1,0.2,AL,2012
1,burnin,22995,365,NewClinicalCase,0.25,5,0.25,1,0.3,AL,2013
1,burnin,22995,365,NewClinicalCase,5,10,0.25,1,0.3,AL,2013
1,burnin,22995,365,NewClinicalCase,10,15,0.25,1,0.3,AL,2013
1,burnin,22995,365,NewSevereCase,0.25,115,0.25,1,0.2,AL,2013
1,burnin,23360,365,NewClinicalCase,0.25,5,0.262,1,0.3,AL,2014
1,burnin,23360,365,NewClinicalCase,5,10,0.262,1,0.3,AL,2014
1,burnin,23360,365,NewClinicalCase,10,15,0.262,1,0.3,AL,2014
1,burnin,23360,365,NewSevereCase,0.25,115,0.262,1,0.2,AL,2014
1,burnin,23725,365,NewClinicalCase,0.25,5,0.262,1,0.3,AL,2015
1,burnin,23725,365,NewClinicalCase,5,10,0.262,1,0.3,AL,2015
1,burnin,23725,365,NewClinicalCase,10,15,0.262,1,0.3,AL,2015
1,burnin,23725,365,NewSevereCase,0.25,115,0.262,1,0.2,AL,2015
1,burnin,24090,365,NewClinicalCase,0.25,5,0.262,1,0.3,AL,2016
1,burnin,24090,365,NewClinicalCase,5,10,0.262,1,0.3,AL,2016
1,burnin,24090,365,NewClinicalCase,10,15,0.262,1,0.3,AL,2016
1,burnin,24090,365,NewSevereCase,0.25,115,0.262,1,0.2,AL,2016
1,burnin,24455,365,NewClinicalCase,0.25,5,0.262,1,0.3,AL,2017
1,burnin,24455,365,NewClinicalCase,5,10,0.262,1,0.3,AL,2017
1,burnin,24455,365,NewClinicalCase,10,15,0.262,1,0.3,AL,2017
1,burnin,24455,365,NewSevereCase,0.25,115,0.262,1,0.2,AL,2017
1,burnin,24820,365,NewClinicalCase,0.25,5,0.262,1,0.3,AL,2018
1,burnin,24820,365,NewClinicalCase,5,10,0.262,1,0.3,AL,2018
1,burnin,24820,365,NewClinicalCase,10,15,0.262,1,0.3,AL,2018
1,burnin,24820,365,NewSevereCase,0.25,115,0.262,1,0.2,AL,2018
1,burnin,25185,365,NewClinicalCase,0.25,5,0.689,1,0.3,AL,2019
1,burnin,25185,365,NewClinicalCase,5,10,0.689,1,0.3,AL,2019
1,burnin,25185,365,NewClinicalCase,10,15,0.689,1,0.3,AL,2019
1,burnin,25185,365,NewSevereCase,0.25,115,0.689,1,0.2,AL,2019
1,burnin,25550,365,NewClinicalCase,0.25,5,0.689,1,0.3,AL,2020
1,burnin,25550,365,NewClinicalCase,5,10,0.689,1,0.3,AL,2020
1,burnin,25550,365,NewClinicalCase,10,15,0.689,1,0.3,AL,2020
1,burnin,25550,365,NewSevereCase,0.25,115,0.689,1,0.2,AL,2020
1,burnin,25915,365,NewClinicalCase,0.25,5,0.689,1,0.3,AL,2021
1,burnin,25915,365,NewClinicalCase,5,10,0.689,1,0.3,AL,2021
1,burnin,25915,365,NewClinicalCase,10,15,0.689,1,0.3,AL,2021
1,burnin,25915,365,NewSevereCase,0.25,115,0.689,1,0.2,AL,2021
1,burnin,26280,365,NewClinicalCase,0.25,5,0.757,1,0.3,AL,2022
1,burnin,26280,365,NewClinicalCase,5,10,0.757,1,0.3,AL,2022
1,burnin,26280,365,NewClinicalCase,10,15,0.757,1,0.3,AL,2022
1,burnin,26280,365,NewSevereCase,0.25,115,0.757,1,0.2,AL,2022
1,pickup,1,365,NewClinicalCase,0.25,5,0.8,1,0.3,AL,2023
1,pickup,1,365,NewClinicalCase,5,10,0.8,1,0.3,AL,2023
1,pickup,1,365,NewClinicalCase,10,15,0.8,1,0.3,AL,2023
1,pickup,1,365,NewSevereCase,0.25,115,0.8,1,0.2,AL,2023
1,pickup,365,365,NewClinicalCase,0.25,5,0.8,1,0.3,AL,2024
1,pickup,365,365,NewClinicalCase,5,10,0.8,1,0.3,AL,2024
1,pickup,365,365,NewClinicalCase,10,15,0.8,1,0.3,AL,2024
1,pickup,365,365,NewSevereCase,0.25,115,0.8,1,0.2,AL,2024
1,pickup,730,365,NewClinicalCase,0.25,5,0.8,1,0.3,AL,2025
1,pickup,730,365,NewClinicalCase,5,10,0.8,1,0.3,AL,2025
1,pickup,730,365,NewClinicalCase,10,15,0.8,1,0.3,AL,2025
1,pickup,730,365,NewSevereCase,0.25,115,0.8,1,0.2,AL,2025
1,pickup,1095,365,NewClinicalCase,0.25,5,0.8,1,0.3,AL,2026
1,pickup,1095,365,NewClinicalCase,5,10,0.8,1,0.3,AL,2026
1,pickup,1095,365,NewClinicalCase,10,15,0.8,1,0.3,AL,2026
1,pickup,1095,365,NewSevereCase,0.25,115,0.8,1,0.2,AL,2026
